timestamp,temperature_f,humidity_percent,noise_level_db,kennel_section
2025-10-16T15:00:00Z,81.1,53.9,40.7,B
2025-10-16T15:30:00Z,80.2,53.1,38.6,B
2025-10-16T16:00:00Z,79.1,52.2,36.4,B
2025-10-16T16:30:00Z,78.0,51.3,34.2,B
2025-10-16T17:00:00Z,76.7,50.4,32.6,B
2025-10-16T17:30:00Z,75.4,49.2,31.0,B
2025-10-16T18:00:00Z,74.0,48.0,29.8,B
2025-10-16T18:30:00Z,72.9,46.9,28.5,B
2025-10-16T07:00:00Z,73.2,46.5,37.2,C
2025-10-16T07:30:00Z,73.8,47.3,40.1,C
2025-10-16T08:00:00Z,74.5,48.1,43.6,C
2025-10-16T08:30:00Z,75.2,49.0,41.2,C
2025-10-16T09:00:00Z,76.4,49.8,45.1,C
2025-10-16T09:30:00Z,77.1,50.6,47.5,C
2025-10-16T10:00:00Z,78.3,51.4,44.3,C
2025-10-16T10:30:00Z,79.0,52.2,42.0,C
2025-10-16T11:00:00Z,79.9,53.0,46.5,C
2025-10-16T11:30:00Z,80.7,53.8,48.7,C
2025-10-16T12:00:00Z,81.8,54.6,45.8,C
2025-10-16T12:30:00Z,82.4,55.3,43.6,C
2025-10-16T13:00:00Z,83.1,56.1,47.0,C
2025-10-16T13:30:00Z,83.6,56.7,49.2,C
2025-10-16T14:00:00Z,83.3,56.4,45.9,C
2025-10-16T14:30:00Z,82.8,55.8,44.4,C
2025-10-16T15:00:00Z,82.0,55.1,42.6,C
2025-10-16T15:30:00Z,81.1,54.3,40.5,C
2025-10-16T16:00:00Z,80.0,53.4,38.3,C
2025-10-16T16:30:00Z,78.9,52.5,36.1,C
2025-10-16T17:00:00Z,77.6,51.6,34.5,C
2025-10-16T17:30:00Z,76.3,50.4,32.9,C
2025-10-16T18:00:00Z,74.9,49.2,31.7,C
2025-10-16T18:30:00Z,73.8,48.1,30.4,C
2025-10-15T06:30:00Z,68.5,52.1,28.3,A
2025-10-15T07:00:00Z,69.2,53.0,31.7,A
2025-10-15T07:30:00Z,70.1,53.8,35.2,A
2025-10-15T08:00:00Z,71.3,54.6,38.8,A
2025-10-15T08:30:00Z,72.5,55.4,36.5,A
2025-10-15T09:00:00Z,73.8,56.2,40.1,A
2025-10-15T09:30:00Z,75.0,57.0,42.7,A
2025-10-15T10:00:00Z,76.3,57.8,39.9,A
2025-10-15T10:30:00Z,77.5,58.6,37.6,A
2025-10-15T11:00:00Z,78.8,59.4,41.2,A
2025-10-15T11:30:00Z,80.0,60.2,43.8,A
2025-10-15T12:00:00Z,81.3,61.0,40.4,A
2025-10-15T12:30:00Z,82.5,61.8,38.1,A
2025-10-15T13:00:00Z,83.8,62.6,42.7,A
2025-10-15T13:30:00Z,85.0,63.4,45.3,A
2025-10-15T14:00:00Z,84.7,63.1,41.9,A
2025-10-15T14:30:00Z,84.2,62.5,39.6,A
2025-10-15T15:00:00Z,83.4,61.8,37.2,A
2025-10-15T15:30:00Z,82.1,60.9,34.8,A
2025-10-15T16:00:00Z,80.8,59.7,32.5,A
2025-10-15T16:30:00Z,79.3,58.4,30.1,A
2025-10-15T17:00:00Z,77.9,57.1,27.8,A
2025-10-15T17:30:00Z,76.4,55.8,25.4,A
2025-10-15T18:00:00Z,74.8,54.5,23.1,A
2025-10-15T18:30:00Z,73.3,53.2,20.7,A
2025-10-15T06:30:00Z,67.8,51.4,27.6,B
2025-10-15T07:00:00Z,68.5,52.3,31.0,B
2025-10-15T07:30:00Z,69.4,53.1,34.5,B
2025-10-15T08:00:00Z,70.6,53.9,38.1,B
2025-10-15T08:30:00Z,71.8,54.7,35.8,B
2025-10-15T09:00:00Z,73.1,55.5,39.4,B
2025-10-15T09:30:00Z,74.3,56.3,42.0,B
2025-10-15T10:00:00Z,75.6,57.1,39.2,B
2025-10-15T10:30:00Z,76.8,57.9,36.9,B
2025-10-15T11:00:00Z,78.1,58.7,40.5,B
2025-10-15T11:30:00Z,79.3,59.5,43.1,B
2025-10-15T12:00:00Z,80.6,60.3,39.7,B
2025-10-15T12:30:00Z,81.8,61.1,37.4,B
2025-10-15T13:00:00Z,83.1,61.9,42.0,B
2025-10-15T13:30:00Z,84.3,62.7,44.6,B
2025-10-15T14:00:00Z,84.0,62.4,41.2,B
2025-10-15T14:30:00Z,83.5,61.8,38.9,B
2025-10-15T15:00:00Z,82.7,61.1,36.5,B
2025-10-15T15:30:00Z,81.4,60.2,34.1,B
2025-10-15T16:00:00Z,80.1,59.0,31.8,B
2025-10-15T16:30:00Z,78.6,57.7,29.4,B
2025-10-15T17:00:00Z,77.2,56.4,27.1,B
2025-10-15T17:30:00Z,75.7,55.1,24.7,B
2025-10-15T18:00:00Z,74.1,53.8,22.4,B
2025-10-15T18:30:00Z,72.6,52.5,20.0,B
2025-10-14T06:00:00Z,65.2,58.3,26.5,A
2025-10-14T06:30:00Z,66.1,59.1,29.8,A
2025-10-14T07:00:00Z,67.3,59.9,33.2,A
2025-10-14T07:30:00Z,68.5,60.7,36.7,A
2025-10-14T08:00:00Z,69.8,61.5,34.3,A
2025-10-14T08:30:00Z,71.0,62.3,37.9,A
2025-10-14T09:00:00Z,72.3,63.1,40.5,A
2025-10-14T09:30:00Z,73.5,63.9,37.6,A
2025-10-14T10:00:00Z,74.8,64.7,35.2,A
2025-10-14T10:30:00Z,76.0,65.5,38.8,A
2025-10-14T11:00:00Z,77.3,66.3,41.4,A
2025-10-14T11:30:00Z,78.5,67.1,38.0,A
2025-10-14T12:00:00Z,79.8,67.9,35.7,A
2025-10-14T12:30:00Z,81.0,68.7,39.3,A
2025-10-14T13:00:00Z,82.3,69.5,42.9,A
2025-10-14T13:30:00Z,82.9,70.1,39.5,A
2025-10-14T14:00:00Z,82.6,69.8,37.1,A
2025-10-14T14:30:00Z,82.0,69.2,34.8,A
2025-10-14T15:00:00Z,81.2,68.5,32.4,A
2025-10-14T15:30:00Z,79.8,67.6,30.0,A
2025-10-14T16:00:00Z,78.3,66.4,27.7,A
2025-10-14T16:30:00Z,76.7,65.1,25.3,A
2025-10-14T17:00:00Z,75.1,63.8,22.9,A
2025-10-14T17:30:00Z,73.4,62.5,20.6,A
2025-10-14T18:00:00Z,71.8,61.2,18.2,A
2025-10-14T18:30:00Z,70.1,59.9,15.9,A
2025-10-13T05:30:00Z,62.8,72.1,22.3,A
2025-10-13T06:00:00Z,63.7,72.8,25.6,A
2025-10-13T06:30:00Z,64.9,73.5,28.9,A
2025-10-13T07:00:00Z,66.1,74.2,32.3,A
2025-10-13T07:30:00Z,67.4,74.9,29.8,A
2025-10-13T08:00:00Z,68.6,75.6,33.2,A
2025-10-13T08:30:00Z,69.9,76.3,36.6,A
2025-10-13T09:00:00Z,71.1,77.0,34.1,A
2025-10-13T09:30:00Z,72.4,77.7,31.7,A
2025-10-13T10:00:00Z,73.6,78.4,35.1,A
2025-10-13T10:30:00Z,74.9,79.1,38.5,A
2025-10-13T11:00:00Z,76.1,79.8,35.9,A
2025-10-13T11:30:00Z,77.4,80.5,33.4,A
2025-10-13T12:00:00Z,78.6,81.2,36.8,A
2025-10-13T12:30:00Z,79.9,81.9,40.2,A
2025-10-13T13:00:00Z,81.1,82.6,37.7,A
2025-10-13T13:30:00Z,81.7,83.1,35.2,A
2025-10-13T14:00:00Z,81.4,82.8,32.6,A
2025-10-13T14:30:00Z,80.8,82.2,30.1,A
2025-10-13T15:00:00Z,80.0,81.5,27.5,A
2025-10-13T15:30:00Z,78.6,80.6,25.0,A
2025-10-13T16:00:00Z,77.1,79.4,22.4,A
2025-10-13T16:30:00Z,75.5,78.1,19.9,A
2025-10-13T17:00:00Z,73.9,76.8,17.3,A
2025-10-13T17:30:00Z,72.2,75.5,14.8,A
2025-10-13T18:00:00Z,70.6,74.2,12.2,A
2025-10-13T18:30:00Z,68.9,72.9,9.7,A
